Sex,Age,subgroup,ME-1,ME0,ME1,ME2,ME1-4,CD,IN,IA,UE,O-LIFE total,Ishihara
1,22.16,1,0.026667472,0.034342194,0.026034357,0.038472116,0.031379035,13,7,4,1,25,12
1,20.16,1,0.016515103,0.02189711,0.028411825,0.04433335,0.027789347,19,16,6,17,58,13
1,19.67,2,-0.012402894,0.031010212,-0.019099751,0.03154059,0.007762039,15,6,9,5,35,15
1,21.16,1,-0.006312687,0.020470574,-0.087394257,0.047452226,-0.006446036,15,8,6,10,39,10
1,19.83,1,0.008761029,0.015186205,-0.013092767,0.014382802,0.006309317,14,3,6,7,30,13
1,20.16,2,0.012935212,0.007077185,0.001263008,0.026214485,0.011872472,14,7,3,7,31,12
1,19.67,2,-0.122516467,0.016063516,0.004670085,0.012089926,-0.022423235,21,10,10,15,56,12
1,32.42,1,-0.243779418,0.030499796,0.049367549,0.029812903,-0.033524793,7,5,7,16,35,15
1,19.58,1,0.006776268,0.029841234,0.010305942,0.008485954,0.01385235,17,3,6,9,35,11
1,23.83,2,0.092508107,0.028074848,0.01147604,0.01568091,0.036934976,17,7,2,3,29,11
1,19.83,2,0.031186688,0.021691054,0.037306679,-0.004165414,0.021504751,19,9,7,11,46,14
1,20.16,2,0.062172175,0.027328385,0.017455315,-0.013290426,0.023416362,21,11,1,13,46,13
1,23,1,-0.006740281,0.02447583,0.018836245,0.015593421,0.013041304,18,8,6,19,51,13
1,20.5,2,-0.003321904,-0.002898291,0.007606655,0.032974215,0.008590169,21,3,7,8,39,12
1,20.5,1,0.017895406,0.038419164,0.011178743,0.028806685,0.024075,5,7,6,5,23,11
1,19.66,2,-0.023837347,-0.099201689,0.006196307,-0.000601506,-0.029361059,10,6,3,12,31,13
1,23.75,2,0.002012813,-0.002050725,0.007344204,0.059321191,0.016656871,21,6,8,21,56,17
1,20.41,2,-0.138477493,0.093978778,0.046001568,0.031235781,0.008184659,13,6,3,13,35,13
1,20.25,1,0.003191829,-0.014453384,0.034366414,0.034027259,0.01428303,23,8,9,15,55,12
1,21.16,1,0.03722549,0.024832243,0.005324267,0.006913244,0.018573811,3,2,2,1,8,14
1,21.58,1,0.006931539,0.01186129,0.016496461,0.012536676,0.011956491,18,7,6,18,49,12
1,21.41,1,0.018226745,-0.026190023,0.006272502,-0.026475871,-0.007041662,23,10,2,20,55,13
1,20.5,2,0.018479312,0.019468316,0.013859713,0.030751823,0.020639791,16,5,9,9,39,8
1,20,2,0.023341809,0.00680413,0.018244423,0.040624625,0.022253747,24,8,10,18,60,14
1,20.5,1,0.004825736,0.009928493,-0.001349411,0.015818733,0.007305888,9,7,3,2,21,11
0,20.33,1,0.040291404,0.027772524,0.040106018,0.010466967,0.029659228,16,9,14,6,45,15
1,31.33,2,-0.000654311,0.016076591,0.008683125,0.009679637,0.00844626,5,8,5,13,31,14
1,22.41,2,0.00883116,0.014062742,-0.000444723,0.016777504,0.009806671,9,7,1,9,26,10
1,21,1,5.36E-05,0.037716202,0.03343272,0.03180909,0.025752899,14,7,1,9,31,14
1,21.41,2,-0.010717439,0.01303364,-0.001113067,0.020673002,0.005469034,8,5,5,2,20,14
1,19.83,1,-0.010936471,0.016271149,0.052435987,0.003127354,0.015224505,16,11,2,8,37,13
1,20.41,2,-0.016560827,0.016739382,0.006926221,-0.034684419,-0.006894911,20,10,2,14,46,12
0,20.25,1,0.086392044,-0.002168899,0.017556979,0.042056286,0.035959103,11,15,4,24,54,14
0,20.92,1,0.014634334,-0.002103337,0.012929087,0.012370876,0.00945774,10,11,5,9,35,12
1,27,1,-0.086224809,0.011740265,0.012089646,0.023732696,-0.00966555,12,0,5,4,21,10
1,20.91,1,-0.023419528,-0.002013345,0.038779474,0.028769426,0.010529007,21,12,1,12,46,12
1,20.75,1,0.022843002,0.001216351,0.026539573,-0.004966851,0.011408019,17,19,20,12,68,13
1,21.16,1,0.023712398,0.019102409,0.022400534,0.123445011,0.047165088,13,5,3,14,35,15
1,22.41,1,0.011952495,0.018600582,0.010848981,-0.028200309,0.003300437,8,8,5,13,34,12
1,21.66,1,-0.010630627,0.031881492,0.032918586,0.014541867,0.01717783,17,7,15,2,41,10
1,20.58,2,-0.036653111,0.009828193,-0.046423868,-0.012737362,-0.021496537,15,10,1,12,38,12
1,20.41,2,0.012854477,0.03151352,0.030802458,0.031068945,0.02655985,13,12,8,6,39,14
1,21.25,2,-0.014837776,0.004561145,0.012137315,0.032818767,0.008669863,9,4,6,1,20,12
1,2022.12,1,0.009173732,-0.004717377,0.002584197,0.012497647,0.00488455,23,14,5,19,61,1
